zone_id,hour_bucket,predicted_EIS,p_occur,zone_lat,zone_lon
12.97_77.575,2024-04-09 00:00:00+00:00,0.7690327,0.046392072,12.97,77.575
12.97_77.58,2024-04-09 00:00:00+00:00,0.08371492,0.010196582,12.97,77.58
12.97_77.59,2024-04-09 00:00:00+00:00,0.05471529,0.007815152,12.97,77.59
12.97_77.595,2024-04-09 00:00:00+00:00,0.062099747,0.008594054,12.97,77.595
12.97_77.6,2024-04-09 00:00:00+00:00,0.10016517,0.012682439,12.97,77.6
12.97_77.605,2024-04-09 00:00:00+00:00,0.06791683,0.009959657,12.97,77.605
12.97_77.62,2024-04-09 00:00:00+00:00,0.09767825,0.0131715955,12.97,77.62
12.97_77.64,2024-04-09 00:00:00+00:00,0.062958024,0.009508167,12.97,77.64
12.97_77.645,2024-04-09 00:00:00+00:00,0.072242096,0.01005986,12.97,77.645
12.97_77.66,2024-04-09 00:00:00+00:00,0.08472548,0.012119239,12.97,77.66
12.97_77.71,2024-04-09 00:00:00+00:00,0.07693741,0.010711191,12.97,77.71
12.985_77.55,2024-04-09 00:00:00+00:00,0.09452607,0.01235463,12.985,77.55
12.985_77.555,2024-04-09 00:00:00+00:00,0.32410714,0.032494366,12.985,77.555
12.985_77.575,2024-04-09 00:00:00+00:00,0.04540503,0.006365284,12.985,77.575
12.985_77.58,2024-04-09 00:00:00+00:00,0.076710366,0.010450568,12.985,77.58
12.985_77.6,2024-04-09 00:00:00+00:00,0.09626554,0.011929998,12.985,77.6
12.985_77.605,2024-04-09 00:00:00+00:00,0.7668378,0.06443266,12.985,77.605
12.985_77.61,2024-04-09 00:00:00+00:00,0.29240826,0.021935964,12.985,77.61
12.98_77.555,2024-04-09 00:00:00+00:00,0.0707506,0.0103983395,12.98,77.555
12.98_77.56,2024-04-09 00:00:00+00:00,0.048437834,0.0067904494,12.98,77.56
12.98_77.575,2024-04-09 00:00:00+00:00,12.0098095,0.6011049,12.98,77.575
12.98_77.58,2024-04-09 00:00:00+00:00,7.988878,0.42150146,12.98,77.58
12.98_77.6,2024-04-09 00:00:00+00:00,0.12579678,0.013519175,12.98,77.6
12.98_77.605,2024-04-09 00:00:00+00:00,0.778123,0.059248116,12.98,77.605
12.98_77.61,2024-04-09 00:00:00+00:00,2.5450046,0.19978918,12.98,77.61
12.98_77.615,2024-04-09 00:00:00+00:00,0.055526827,0.007128907,12.98,77.615
12.98_77.64,2024-04-09 00:00:00+00:00,0.04660343,0.006533286,12.98,77.64
12.98_77.695,2024-04-09 00:00:00+00:00,0.09512088,0.013105843,12.98,77.695
12.995_77.55,2024-04-09 00:00:00+00:00,0.09498368,0.01125233,12.995,77.55
12.995_77.555,2024-04-09 00:00:00+00:00,0.50008523,0.03546975,12.995,77.555
12.995_77.565,2024-04-09 00:00:00+00:00,0.077907264,0.008693042,12.995,77.565
12.995_77.57,2024-04-09 00:00:00+00:00,0.11501497,0.013360535,12.995,77.57
12.995_77.59,2024-04-09 00:00:00+00:00,0.09690234,0.012602192,12.995,77.59
12.995_77.61,2024-04-09 00:00:00+00:00,0.06866677,0.009054789,12.995,77.61
12.995_77.615,2024-04-09 00:00:00+00:00,0.08574364,0.011713608,12.995,77.615
12.995_77.66,2024-04-09 00:00:00+00:00,0.11399652,0.017929783,12.995,77.66
12.995_77.665,2024-04-09 00:00:00+00:00,0.08960553,0.012298996,12.995,77.665
12.995_77.67,2024-04-09 00:00:00+00:00,0.60638636,0.04883568,12.995,77.67
12.995_77.695,2024-04-09 00:00:00+00:00,0.16046222,0.01582131,12.995,77.695
12.99_77.54,2024-04-09 00:00:00+00:00,0.07199813,0.009767194,12.99,77.54
12.99_77.55,2024-04-09 00:00:00+00:00,0.081407934,0.008831985,12.99,77.55
12.99_77.555,2024-04-09 00:00:00+00:00,0.2549542,0.023693563,12.99,77.555
12.99_77.57,2024-04-09 00:00:00+00:00,0.074503526,0.0092498,12.99,77.57
12.99_77.575,2024-04-09 00:00:00+00:00,0.095952205,0.013157274,12.99,77.575
